candidate_id,kind,name,street,city,region,postal_code,lat,lng,summary,category,disability_literate,disabled_owned,disabled_led,attribute_count,flags,source_url,source_notes
danceability-inc,provider,"Danceability, Inc.",2365 George Urban Blvd,Depew,Erie County,14043,,,"Individualized dance, fitness and movement program (tap, jazz, ballet, fitness) for children and adults with disabilities, running September through May.",disability_services,True,False,False,0,coverage_only_no_attributes,https://www.danceabilityinc.org,"Org website (fetched 2026-07-10). Exact self-description: 'Danceability is an individualized dance, fitness and movement program serving the special needs community.' Site notes it is in its 19th season, confirming current operation. Address confirmed on site. No physical-access statements on site; no disability-led wording. This lead appeared twice in the input (Adaptive Sports + Arts Inclusive Programs) — merged into one record."
ddawny-developmental-disabilities-alliance-of-wny,provider,Developmental Disabilities Alliance of Western New York (DDAWNY),960 W. Maple Ct.,Elma,Erie County,14059,,,A collaborative alliance of member voluntary agencies across Western New York that provide services to people with developmental disabilities and advocate on developmental-disability issues.,disability_services,True,False,False,0,coverage_only_no_attributes,https://www.ddawny.org,"First-party site (fetched OK). Exact wording: 'The Developmental Disabilities Alliance of Western New York is a collaborative group of member voluntary agencies that provide services to people with developmental disabilities.' ADDRESS CORRECTED: lead gave 1219 North Forest Rd., Williamsville (People Inc. HQ — stale); the site lists 960 W. Maple Ct., Elma, NY 14059 (Erie County). Membership coalition, not a direct-service provider — disability_literate true on advocacy mission. No physical-access statements found."
excalibur-leisure-skills-center,provider,"Excalibur Leisure Skills Center, Inc.","1111 Fuhrmann Blvd (Safe Harbor Marina, Buffalo Harbor State Park)",Buffalo,Erie County,14203,,,All-volunteer nonprofit providing adaptive boating and fishing excursions on a US Coast Guard-certified wheelchair-accessible vessel moored at Buffalo Harbor State Park.,disability_services,True,False,False,0,coverage_only_no_attributes;general_accessible_flag_only;org_status_unconfirmed,https://excaliburls.com/boating-excursions/,"Org website (fetched 2026-07-10). Self-description: 'Dedicated to providing adaptive boating and fishing opportunities for developmentally challenged and disadvantaged persons.' Site states the vessel 'Richard A. Smith' 'is moored at the Wheelchair Access Dock. Address: 1111 Fuhrmann Blvd. Buffalo, New York, 14203' and 'It is wheelchair accessible, and on average, we can accommodate 6 wheelchairs.' These are vessel/dock claims with no schema key (not entrance/restroom/parking), so zero attributes recorded. Office/mailing address is 90 North Drive, Buffalo NY 14216. Status caveat: current weekday schedule is posted but the newest first-party news item is from 2020 — confirm 2026 season by phone before import."
fitnessability-inc,provider,"FitnessAbility, Inc.",1940 Kenmore Ave,Buffalo,Erie County,14217,,,"Not-for-profit universally integrated fitness facility offering inclusive fitness and recreation programming, including Special Olympics programs.",disability_services,True,False,False,0,coverage_only_no_attributes,https://www.fitnessability.org,"Org website (fetched 2026-07-10, site dated 2026). Describes itself as a 'universally integrated fitness facility' and a not-for-profit with the mission 'We will serve our participants with the Highest Quality client experience in a safe, clean, friendly, and fun environment. No man, woman, or child left behind.' Lists Special Olympics programming. disability_literate=true rests on the universally-integrated/special-needs programming focus; the mission statement itself is general. No physical-access statements; no disability-led wording."
goodwill-of-western-new-york,provider,Goodwill of Western New York,1119 William St.,Buffalo,Erie County,14206,,,"A nonprofit provider of education, training, and career services for people with barriers to employment, including the Goodskills Career Builder program, headquartered on William Street in Buffalo.",disability_services,False,False,False,0,coverage_only_no_attributes,https://www.goodwillwny.org/about,"First-party site (fetched OK); active, current 2025 news. Mission wording: 'Goodwill empowers people to achieve their fullest potential through the power of work'; 'a nonprofit provider of education, training, and career services for people with barriers to employment' that assists 'people with all types of vocational challenges and barriers to employment.' NOT in either seed batch (checked — no Goodwill overlap). disability_literate left FALSE conservatively: fetched pages say 'barriers to employment,' never disability-specific mission wording — confirm at onboarding (historically a vocational-rehabilitation provider). No physical-access statements found."
high-hurdles-therapeutic-riding,provider,High Hurdles Therapeutic Riding Program (SASi),13339 Route 39,Sardinia,Erie County,14134,,,"Therapeutic horseback riding program of SASi for individuals age 3+ with intellectual and developmental disabilities, with a 2026 season that began March 2026.",disability_services,True,False,False,0,coverage_only_no_attributes;source_fetch_403_reverify,https://highhurdlestrc.org/,"First-party site exists (note: no 'www' — www.highhurdlestrc.org does not resolve) but returned empty content to automated fetch (JS-rendered); flag used to mark fetch-reverify need. Details corroborated via search excerpts of highhurdlestrc.org, sasinc.org (which 301-redirects its High Hurdles page to highhurdlestrc.org, confirming SASi affiliation), and 211wny.org provider 4512. Search-excerpt wording: 'High Hurdles seeks to provide a unique opportunity for people with special needs through the horse-human bond'; address 13339 Rt 39, Sardinia NY 14134; 2026 registration opened with first session March 2, 2026 (operating). Sardinia is in southern Erie County. No physical-access statements found."
inclusive-theater-of-wny,provider,Inclusive Theater of WNY (ITOWNY),"The Foundry, 298 Northampton St",Buffalo,Erie County,14208,,,"Community theater company producing original scripts with casts chosen solely on ability, whether or not the actor has a disability.",disability_services,True,False,False,0,coverage_only_no_attributes;disabled_led_needs_confirmation;org_status_unconfirmed,https://www.inclusivetheaterofwny.com,"Org website (fetched 2026-07-10). Exact self-description: 'Inclusive Theater of WNY seeks to reimagine our society through producing original scripts in our ongoing writing group and writing workshops, and through the production and performance of those scripts with actors who are chosen solely on their ability—whether they have a disability or not.' Also: 'ITOWNY is committed to diversity at all levels: on our stage, in our audience, on our staff, and within our leadership.' Address per site: 'The Foundry, 298 Northampton Street, Buffalo, NY. 14208' (matches lead); some performances at St. Mary's HS, Lancaster. The lead's 'disability-led' claim is NOT stated first-party — disabled_led left false; NEEDS SELF-ATTESTATION AT ONBOARDING. Status caveat: newest listed performances ran through December 2025; confirm 2026 season activity. No physical-access statements."
indicatorart,provider,IndicatorArt,,Buffalo,Erie County,,,,"501(c)(3) art-education nonprofit offering painting workshops and gallery shows, online and in person, for people with developmental disabilities.",disability_services,True,False,False,0,coverage_only_no_attributes;missing_street_address,https://www.indicatorart.org,Org website (fetched 2026-07-10). Exact self-description: 'Enriching the lives of people with developmental disabilities through the creative arts.' Registered 501(c)(3); actively operating with current classes and galleries. Based in Buffalo but no fixed public street address published (programs are online and in-person at varying locations) — street null per rules. No physical-access statements; no disability-led wording.
innovative-placements-wny,provider,Innovative Placements,,Buffalo,Erie County,14201,,,A WNY-based job-placement service specializing in employment for people with disabilities as a partner of ACCES-VR and the New York State Commission for the Blind.,disability_services,True,False,False,0,coverage_only_no_attributes;missing_street_address,https://www.ipswny.com,"First-party site (fetched OK). Exact wording: 'Innovative Placements specializes in job placement for people with disabilities and is a partner of Adult Career and Continuing Education Services-Vocational Rehabilitation (ACCES-VR) and the New York State Commission for the Blind (NYSCB)'; tagline 'Jobs for people with disabilities.' Only a PO Box (PO Box 801, Buffalo, NY 14201) is published — no public street address, services delivered in the community. 20+ years serving WNY per site. No physical-access statements found."
link-buffalo-jewish-federation,provider,"LiNK — Buffalo Jewish Federation (disability inclusion, now branded 'Belonging')","338 Harris Hill Rd., Suite 108B",Williamsville,Erie County,14221,,,"The Buffalo Jewish Federation's disability-inclusion effort (LiNK Inclusion Planning Team, work now branded 'Belonging') providing outreach, advocacy, and program support so people with disabilities are fully included in Jewish community life.",disability_services,True,False,False,0,coverage_only_no_attributes;source_fetch_403_reverify;org_status_unconfirmed,https://buffalojewishfederation.org/belonging/,"First-party page returned HTTP 403 to fetching (both /link and /belonging/) — details from search excerpts of the Belonging page: the 'LiNK Inclusion Planning Team' expanded 'in alignment with the Buffalo Jewish Federation's mission of creating a welcoming and thriving network of communities'; the Federation 'changed the name of its work from Inclusion to Belonging' and is 'inclusive of all abilities.' Program-name transition (LiNK → Belonging) unconfirmed on a live fetch — reverify name at import. Address 338 Harris Hill Rd., Suite 108B is the Federation office per search results; program has no separate site. No physical-access statements found."
lothlorien-therapeutic-riding-center,provider,Lothlorien Therapeutic Riding Center,15 Reiter Rd,East Aurora,Erie County,14052,,,"Therapeutic riding center offering equine-assisted activities for individuals with special needs, veterans, and anxiety support groups, just outside the Village of East Aurora.",disability_services,True,False,False,0,coverage_only_no_attributes,https://www.lothlorientrc.com,"Org website (fetched 2026-07-10, site dated through 2026). Exact self-description: 'Assisting individuals to develop their highest potential through therapeutically based equine activities'; serves 'individuals with special needs' with horses chosen for 'ability to support riders of all abilities.' Homepage gives location only as 'just outside of the Village of East Aurora, New York'; street address 15 Reiter Rd, East Aurora NY 14052 corroborated by the site's own contact page URL in search results plus 211wny.org and Yelp. No physical-access statements."
miracle-league-of-wny,provider,Miracle League of Western New York,"Veterans Park, 1717 Bedell Rd",Grand Island,Erie County,14072,,,"Adaptive baseball league for individuals with adaptive needs, played on a custom-designed rubberized field at Veterans Park in Grand Island.",disability_services,True,False,False,0,coverage_only_no_attributes;general_accessible_flag_only,https://www.miracleleaguewny.org/contact/,"Org website (fetched 2026-07-10). Self-description from homepage: provides 'individuals with adaptive needs the opportunity to play baseball on a custom-designed, rubberized field, removing barriers and fostering inclusivity, joy, and community'; eligibility: 'Anyone with an adaptive need that cannot be accommodated in a traditional league.' Operating (season starts the Sunday after Memorial Day). Field address from first-party contact page: 'Veterans Park, 1717 Bedell Rd, Grand Island, NY 14072' (a search snippet said 1715 — the first-party page's 1717 is used); mailing address PO Box 833, Grand Island NY 14072. The rubberized-field claim is an adaptive feature with no schema key — no attributes recorded. Note: the lead also listed wnychallengersports.com (Challenger Sports, Lockport) — that is a separate org in Niagara County and was NOT recorded."
opwdd-wny-ddro-region-1,provider,"OPWDD Western New York Developmental Disabilities Regional Office (Region 1, West Seneca)",1200 East and West Road,West Seneca,Erie County,14224,,,"The NYS Office for People With Developmental Disabilities regional office and Front Door access point for developmental-disability services in Region 1, with on-site clinical services including nursing, occupational therapy, physical therapy, psychology, social work, and speech pathology.",disability_services,True,False,False,1,general_accessible_flag_only,https://opwdd.ny.gov/location/western-new-york-ddso-west-seneca,"First-party opwdd.ny.gov location page (fetched OK) confirms name and 1200 East and West Road, West Seneca, NY 14224; identifies clinical services offered. Search-corroborated: office serves Allegany, Cattaraugus, Chautauqua, Erie, Genesee, Niagara, and Orleans Counties; Front Door 866-946-9733, main (716) 674-6300. State agency office, not a community org. Attribute is a bare 211WNY 'Handicap Accessible? Yes' flag — one conservative entrance_step_free claim per rules."
paracliffhangers-adaptive-climbing-crg-buffalo,provider,ParaCliffHangers Adaptive Climbing Meetup at Central Rock Gym Buffalo,55 Chicago St,Buffalo,Erie County,14204,,,Recurring adaptive rock climbing meetup (first and third Mondays monthly) run with the nonprofit ParaCliffHangers at the Central Rock Gym Buffalo climbing facility.,disability_services,True,False,False,0,coverage_only_no_attributes,https://centralrockgym.com/buffalo/climbing/adaptive-climbing-training-practice/,"First-party Central Rock Gym Buffalo program page (fetched 2026-07-10). Exact wording: 'ParaCliffHangers is a nonprofit organization that fosters community, adventure, strength, and equity through adaptive rock climbing'; meets 'First and Third Mondays Each Month'; 'The use of some adaptive equipment requires setup by trained staff, so advance notice is needed if interested in using it.' Recorded as the disability-specific program, not the gym itself — the host venue is a general commercial climbing gym whose mission is not disability-focused. Lead's original claims about sensory-friendly sessions were NOT found first-party. A third-party directory calls the gym wheelchair accessible, but no first-party physical-access statement exists, so zero attributes. disability_literate applies to the adaptive program, not the gym; the gym should self-attest at onboarding."
people-inc-emod-adaptive-technologies,provider,People Inc. - Environmental Modifications (EMOD) & Adaptive Technologies,1219 North Forest Rd,Williamsville,Erie County,14221,,,"Nonprofit program providing project management for OPWDD-funded home modifications (ramps, lifts, barrier-free showers, widened doorways), adaptive technology devices and vehicle modifications, delivered in clients' homes across Western New York.",disability_services,True,False,False,0,coverage_only_no_attributes;no_public_premises,https://www.people-inc.org/press-releases/increasing-independence-and-safety-is-at-the-heart-of-people-inc-4227480/,"First-party press release page (people-inc.org): the EMOD Department provides 'project management and oversight services that help eligible people with intellectual and developmental disabilities work through safety and other issues in their living area'; modifications include ramps, wheelchair lifts, lowered countertops, barrier-free showers, widened doorways, grab bars, door openers, ceiling tracks; also assistive technology devices and vehicle modifications. WNY address 1219 North Forest Rd, Williamsville NY 14221 (org HQ - the service itself is in-home; no showroom). The lead's dedicated program URL 404s; the org's main services URL structure changed, so re-link at import if a dedicated service page reappears. disability_literate reflects OPWDD disability-services nonprofit status per its own materials; formal self-attestation still needed. No premises-access statements - zero attribute claims."
starlight-studio-and-art-gallery,provider,Starlight Studio and Art Gallery (a division of Beyond Support Network),340 Delaware Ave,Buffalo,Erie County,14202,,,A downtown Buffalo cooperative art studio and gallery that supports adults with intellectual and developmental disabilities in their artistic development and careers in art.,disability_services,True,False,False,0,coverage_only_no_attributes;duplicate_of_parent_check,https://www.starlightstudio.org/about,"First-party site (fetched OK). Exact wording: 'a cooperative environment that supports adults with intellectual and developmental disabilities in their artistic development'; goal 'Support Artists with disabilities to have careers in art.' AFFILIATION CORRECTED: lead said 'via CEPA Foundation' — the site states 'Starlight Studio & Art Gallery is a division of Beyond Support Network.' Parent Beyond Support Network is already seeded (Depew campus), but Starlight has its own public location (340 Delaware Ave) and own site, so recorded as the distinct program site per dedupe rule. No physical-access statements found."
ub-center-for-assistive-technology,provider,Center for Assistive Technology - University at Buffalo,"210 John Glenn Drive, Suite 14",Buffalo,Erie County,14228,,,"University-based assistive technology center providing assessment, training, demonstration and device-loan services for Western New York.",disability_services,True,False,False,0,coverage_only_no_attributes,https://publichealth.buffalo.edu/cat.html,"First-party UB page (client-services section updated 2/20/26): describes 'assessment, training, demonstration and loan services' and 'computer assessment and training services in the use of AT in Western New York.' Address as printed on the page: 210 John Glenn Drive, Suite 14, Buffalo, NY 14228 (Erie County; physically in the Amherst/Audubon area - site's own city wording kept). The lead's 'Regional TRAID Center' designation and five-county list were NOT confirmed on this page - corroborate against the Erie County OPD agency directory before surfacing that claim. Suite-based center; whether walk-in visits vs. appointments are expected is not stated. No statements about their own premises' physical access - zero attribute claims."
unique-theatre-company,provider,Unique Theatre Company,99 Hartwell Rd,Buffalo,Erie County,14216,,,Theater company of playwrights and actors focused on giving voice to persons with disabilities through inclusive original productions.,disability_services,True,False,False,0,coverage_only_no_attributes;source_fetch_403_reverify;disabled_led_needs_confirmation,https://www.uniquetheatre.org/,"Org website blocks automated fetch (HTTP 403); the site is live and indexed (e.g., uniquetheatre.org/community-resources/). Search-excerpt self-description: 'comprised of aspiring and/or working playwrights and actors who have an interest in giving voice to persons with disabilities, as well as changing current cultural perceptions of what it means to be a person with disabilities.' Address 99 Hartwell Rd, Buffalo NY 14216 corroborated by directory listings; recent local news coverage (WKBW) confirms active inclusive productions with casts of professional actors and actors with disabilities. The lead's 'led by artists with disabilities' claim was not confirmable first-party — disabled_led false; NEEDS SELF-ATTESTATION AT ONBOARDING. Re-verify site content manually. No physical-access statements found."
advance-physical-therapy-buffalo,provider,Advance Physical Therapy (Buffalo),2633 Main Street,Buffalo,Erie County,14214,,,"Outpatient physical therapy clinic on Main Street in Buffalo, part of a New York practice with Buffalo and Long Island locations, offering orthopedic rehab, sports rehab, and balance-disorder treatment.",healthcare,False,False,False,0,coverage_only_no_attributes;mde_recruit_pt_ot,https://advance-pt.com/locations/,"Provider website (locations page + Buffalo location page, fetched 2026-07-10). Site lists exactly: '2633 Main Street, Buffalo, NY 14214' — the lead's 330 Delaware Ave address does NOT exist on the site and was corrected; lead phone 716-342-1100 matches the site's Buffalo page. Services quoted: 'Orthopedic Rehab', 'Sports Rehab', 'Balance Disorders', McKenzie Method. No physical-access or MDE statements published — outreach target for ADA MDE attestation (height-adjustable table, accessible scale; HHS deadline passed 7/8/2026, Title II 8/9/2026). Generic ortho/sports practice, no disability-specific program: disability_literate false."
advanced-care-physical-therapy-buffalo,provider,Advanced Care Physical Therapy (Buffalo),"1091 Main Street, Suite 120",Buffalo,Erie County,14209,,,"Buffalo clinic of a nine-location WNY outpatient physical therapy practice treating sports injuries, accident injuries, and post-surgical conditions.",healthcare,False,False,False,0,coverage_only_no_attributes;mde_recruit_pt_ot,https://www.advancedcarephysicaltherapy.com,"Provider website (fetched 2026-07-10) confirms lead address verbatim: 'Buffalo: 1091 Main Street, Suite 120, Buffalo, NY 14209'; 9 locations total (chain — this record is the Buffalo site per the lead). Services quoted: treats 'sports injuries', 'accident injuries', 'effects of surgery'; 'aquatic therapy, orthotics, soft-tissue mobilization'. No physical-access or MDE statements published — ADA MDE recruitment target (hi-lo tables/accessible scale unstated). No disability-specific programs found: disability_literate false."
apnea-care-cheektowaga,provider,Apnea Care Inc,156 Sonwil Dr,Cheektowaga,Erie County,14225,,,"Durable medical equipment provider specializing in sleep and respiratory care (CPAP/BiPAP, home oxygen, nebulizers) with a patient-visitable Buffalo-area location open weekdays 8:30-5.",healthcare,False,True,True,0,sdvosb_federal_cert;sdvob_veteran_subset;disabled_owned_needs_attestation,https://search.certifications.sba.gov/profile/KGABNQ2V7P35/6NJF3,"Federal SBA VetCert SDVOSB, active since 05/21/2025 (UEI KGABNQ2V7P35, CAGE 6NJF3; cert basis: >=51% service-disabled-veteran ownership + day-to-day control). Not in the NYS OGS SDVOB directory. Business site apneacare.com confirms patients visit the 156 Sonwil Dr Cheektowaga NY 14225 location (one of 7 NY locations), Mon-Fri 8:30-5. SBA record lists city as Buffalo, site says Cheektowaga - same address, both Erie County. No accessibility features stated on the site, so no attribute claims. NEEDS OWNER SELF-ATTESTATION AT ONBOARDING."
awaken-performance-rehab-amherst,provider,Awaken Performance Rehab,"4476 Main Street, Suite 110",Amherst,Erie County,14226,,,Boutique one-on-one orthopedic and sports physical therapy clinic in Amherst led by a board-certified Doctor of Physical Therapy.,healthcare,False,False,False,0,coverage_only_no_attributes;mde_recruit_pt_ot,https://awakenperformancerehab.com,"Provider website (fetched 2026-07-10). Site address is '4476 Main St. Suite 110 Amherst, NY 14226' — lead's 3980 Sheridan Dr corrected; phone 716-246-4806 matches. Services quoted: 'Orthopedic & Sports Physical Therapy', 'Individualized, One-on-One Care with a Board Certified Doctor of Physical Therapy in a Boutique Setting'. No physical-access or MDE statements — ADA MDE recruitment target. Generic sports-PT clinic: disability_literate false."
buffalo-physical-therapy-sports-rehabilitation,provider,Buffalo Physical Therapy & Sports Rehabilitation,"192 Park Club Lane, Suite 110",Williamsville,Erie County,14221,,,"Williamsville outpatient physical therapy clinic, now part of Paragon Physical Therapy Group, offering balance and fall prevention, osteoporosis management, and post-concussion rehabilitation.",healthcare,False,False,False,0,coverage_only_no_attributes;org_status_unconfirmed;mde_recruit_pt_ot,https://paragonptgroup.com/location/buffalo-physical-therapy-sports-rehabilitation-pc/,"Parent-group website (Paragon Physical Therapy Group, fetched 2026-07-10) lists '192 Park Club Lane Suite 110, Williamsville, NY 14221', phone 716-632-9200 (matches lead). Lead's website (buffalophysicaltherapy.com) serves an empty page and buffalopt.com is domain-parked; lead street 5500 Main St not corroborated anywhere — corrected to Paragon's listed address. Services quoted: 'Balance and Fall Prevention', 'Osteoporosis Management', 'Post Concussion Rehabilitation'. org_status_unconfirmed: practice appears absorbed into Paragon PT Group — confirm current branding before import. No physical-access/MDE statements — ADA MDE recruitment target. disability_literate false."
